sales_person,country,product,sale_date,amount,boxes_shipped
Marney O'Breen,New Zealand,After Nines,2022-03-09,"1,561",44
Husein Augar,Australia,Orange Choco,2022-06-28,"8,897",188
Marney O'Breen,Australia,Milk Bars,2022-07-28,"2,464",387
Kelci Walkden,Canada,99% Dark & Pure,2022-08-15,"4,830",50
Kaine Padly,Australia,Manuka Honey Choco,2022-01-12,"2,765",264
Beverie Moffet,New Zealand,White Choc,2022-03-24,"7,126",7
Van Tuxwell,UK,Milk Bars,2022-07-25,"4,263",90
Oby Sorrel,Canada,99% Dark & Pure,2022-08-01,"3,605",403
Van Tuxwell,India,Organic Choco Syrup,2022-05-16,"19,929",174
Roddy Speechley,India,Smooth Sliky Salty,2022-08-10,"5,103",140
Jan Morforth,India,Eclairs,2022-01-05,"2,541",27
Ches Bonnell,UK,Smooth Sliky Salty,2022-07-11,"5,663",110
Wilone O'Kielt,USA,After Nines,2022-04-25,392,30
Gigi Bohling,New Zealand,Fruit & Nut Bars,2022-04-04,"10,976",121
Barr Faughny,USA,Raspberry Choco,2022-04-12,"9,282",101
Wilone O'Kielt,New Zealand,85% Dark Bars,2022-08-02,"1,827",117
Gigi Bohling,New Zealand,Manuka Honey Choco,2022-06-28,"8,267",272
Ches Bonnell,Australia,Eclairs,2022-07-05,"4,116",128
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,2022-06-07,"2,093",45
Brien Boise,New Zealand,Smooth Sliky Salty,2022-01-18,"1,015",27
Brien Boise,Australia,Baker's Choco Chips,2022-01-04,"12,516",212
Dennison Crosswaite,Australia,99% Dark & Pure,2022-01-31,"2,758",18
Kelci Walkden,India,Almond Choco,2022-03-14,"3,297",149
Camilla Castle,Australia,70% Dark Bites,2022-04-29,"6,048",477
Oby Sorrel,India,Smooth Sliky Salty,2022-02-07,"10,101",108
Kaine Padly,UK,Organic Choco Syrup,2022-03-31,"2,282",178
Marney O'Breen,India,Caramel Stuffed Bars,2022-03-16,"4,361",81
Karlen McCaffrey,UK,Eclairs,2022-01-25,"7,798",196
Van Tuxwell,India,Baker's Choco Chips,2022-06-20,"3,052",447
Gigi Bohling,UK,After Nines,2022-03-29,"8,029",175
Curtice Advani,Australia,Orange Choco,2022-07-12,854,136
Jehu Rudeforth,Canada,Smooth Sliky Salty,2022-07-11,"5,460",138
Karlen McCaffrey,Canada,Smooth Sliky Salty,2022-01-19,"3,017",184
Andria Kimpton,USA,85% Dark Bars,2022-04-05,"8,911",82
Jehu Rudeforth,Canada,Milk Bars,2022-02-21,"7,203",12
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,2022-05-20,"13,083",14
Mallorie Waber,Australia,Milk Bars,2022-07-29,"2,779",104
Barr Faughny,USA,Fruit & Nut Bars,2022-01-28,"9,058",46
Marney O'Breen,UK,Caramel Stuffed Bars,2022-07-19,"3,549",112
Mallorie Waber,New Zealand,Manuka Honey Choco,2022-04-13,"9,436",11
Roddy Speechley,India,Peanut Butter Cubes,2022-02-11,"10,283",21
Roddy Speechley,New Zealand,Milk Bars,2022-03-02,"5,446",116
Ches Bonnell,Australia,White Choc,2022-03-02,"1,043",202
Van Tuxwell,USA,99% Dark & Pure,2022-07-28,"12,586",6
Kelci Walkden,India,After Nines,2022-01-07,"1,687",520
Brien Boise,UK,White Choc,2022-04-12,"5,299",167
Van Tuxwell,Canada,Almond Choco,2022-06-27,"3,213",72
Jehu Rudeforth,Australia,50% Dark Bites,2022-01-14,"5,194",418
Karlen McCaffrey,UK,Baker's Choco Chips,2022-02-07,"4,753",389
Jehu Rudeforth,Australia,Orange Choco,2022-03-23,"13,706",26
Marney O'Breen,India,Peanut Butter Cubes,2022-01-10,"6,489",146
Oby Sorrel,UK,Choco Coated Almonds,2022-03-17,"9,324",41
Gigi Bohling,USA,Spicy Special Slims,2022-01-21,"10,829",54
Barr Faughny,Australia,White Choc,2022-07-04,"8,113",370
Kaine Padly,Canada,Peanut Butter Cubes,2022-07-04,"3,269",176
Dotty Strutley,USA,Manuka Honey Choco,2022-08-10,273,210
Dennison Crosswaite,Australia,50% Dark Bites,2022-04-01,"7,287",12
Gigi Bohling,India,Raspberry Choco,2022-02-22,"2,583",159
Camilla Castle,UK,White Choc,2022-01-03,"9,982",187
Karlen McCaffrey,India,Drinking Coco,2022-05-31,"4,795",233
Dotty Strutley,UK,99% Dark & Pure,2022-01-03,"9,310",282
Husein Augar,New Zealand,Caramel Stuffed Bars,2022-01-27,497,475
Barr Faughny,UK,50% Dark Bites,2022-01-28,581,65
Curtice Advani,Australia,Organic Choco Syrup,2022-06-28,"3,472",311
Husein Augar,UK,Choco Coated Almonds,2022-03-02,"4,333",43
Wilone O'Kielt,Australia,After Nines,2022-05-27,"3,325",26
Dennison Crosswaite,USA,Almond Choco,2022-06-30,"11,718",84
Barr Faughny,Canada,Peanut Butter Cubes,2022-06-07,"2,100",78
Kaine Padly,USA,70% Dark Bites,2022-05-12,"4,018",100
Barr Faughny,New Zealand,Raspberry Choco,2022-07-29,"6,468",66
Dennison Crosswaite,UK,White Choc,2022-08-03,"7,238",265
Barr Faughny,India,Baker's Choco Chips,2022-08-18,"6,454",141
Van Tuxwell,New Zealand,Smooth Sliky Salty,2022-06-14,"3,115",42
Beverie Moffet,UK,White Choc,2022-06-30,"6,475",76
Camilla Castle,New Zealand,Mint Chip Choco,2022-06-13,"1,162",190
Ches Bonnell,UK,Orange Choco,2022-04-27,"14,238",54
Jan Morforth,Australia,White Choc,2022-07-27,"3,472",32
Mallorie Waber,Canada,85% Dark Bars,2022-04-20,"1,428",424
Rafaelita Blaksland,India,Spicy Special Slims,2022-01-04,"8,064",134
Ches Bonnell,Australia,Mint Chip Choco,2022-02-21,"9,660",92
Karlen McCaffrey,Australia,White Choc,2022-01-05,"7,357",48
Beverie Moffet,India,Drinking Coco,2022-07-15,"6,055",46
Brien Boise,Australia,Choco Coated Almonds,2022-05-25,"5,124",62
Karlen McCaffrey,Canada,Eclairs,2022-04-20,"3,479",358
Gigi Bohling,USA,99% Dark & Pure,2022-06-02,784,249
Marney O'Breen,UK,Smooth Sliky Salty,2022-05-13,"18,991",88
Beverie Moffet,New Zealand,Baker's Choco Chips,2022-08-03,"1,372",144
Beverie Moffet,Australia,Milk Bars,2022-05-25,735,390
Van Tuxwell,UK,Raspberry Choco,2022-03-16,"6,538",79
Jan Morforth,Australia,Orange Choco,2022-07-04,"3,199",122
Jehu Rudeforth,India,50% Dark Bites,2022-07-05,"3,472",135
Madelene Upcott,USA,After Nines,2022-03-15,"4,571",430
Barr Faughny,UK,Raspberry Choco,2022-08-22,"5,481",69
Ches Bonnell,Australia,70% Dark Bites,2022-01-12,"3,136",125
Marney O'Breen,UK,Baker's Choco Chips,2022-06-10,252,154
Kaine Padly,Australia,Peanut Butter Cubes,2022-03-25,"5,460",286
Rafaelita Blaksland,India,Almond Choco,2022-07-27,"3,395",99
Husein Augar,UK,Caramel Stuffed Bars,2022-04-15,"14,938",433
Roddy Speechley,India,Orange Choco,2022-06-27,"4,053",19
Jehu Rudeforth,UK,70% Dark Bites,2022-04-14,"5,565",258
Husein Augar,Australia,Manuka Honey Choco,2022-03-15,"7,161",92
Madelene Upcott,USA,Eclairs,2022-03-18,"8,883",200
Brien Boise,India,Eclairs,2022-04-29,"1,351",61
Mallorie Waber,New Zealand,White Choc,2022-02-25,"3,171",246
Husein Augar,USA,Milk Bars,2022-03-02,854,56
Van Tuxwell,Australia,Milk Bars,2022-06-20,"7,910",87
Beverie Moffet,Canada,White Choc,2022-07-15,"9,275",173
Dotty Strutley,Australia,50% Dark Bites,2022-05-12,"3,108",252
Mallorie Waber,New Zealand,Organic Choco Syrup,2022-07-01,"5,075",256
Husein Augar,USA,85% Dark Bars,2022-08-08,378,54
Madelene Upcott,Australia,50% Dark Bites,2022-07-25,"7,350",6
Wilone O'Kielt,UK,Drinking Coco,2022-05-18,"3,388",55
Camilla Castle,India,Peanut Butter Cubes,2022-07-15,"11,837",277
Curtice Advani,India,70% Dark Bites,2022-07-05,"2,282",44
Mallorie Waber,USA,Manuka Honey Choco,2022-07-04,"5,425",96
Dotty Strutley,UK,70% Dark Bites,2022-06-20,"1,267",216
Gunar Cockshoot,Australia,Almond Choco,2022-01-25,"3,752",424
Kaine Padly,New Zealand,Spicy Special Slims,2022-07-01,"7,728",37
Gigi Bohling,USA,50% Dark Bites,2022-04-13,"2,296",59
Beverie Moffet,UK,Smooth Sliky Salty,2022-05-04,"4,403",76
Beverie Moffet,Australia,Baker's Choco Chips,2022-08-04,"3,192",109
Beverie Moffet,India,70% Dark Bites,2022-06-01,448,146
Jehu Rudeforth,UK,Choco Coated Almonds,2022-04-22,"4,270",185
Kaine Padly,USA,50% Dark Bites,2022-08-03,70,27
Ches Bonnell,USA,Orange Choco,2022-06-10,"1,743",69
Gunar Cockshoot,UK,Manuka Honey Choco,2022-06-27,"6,762",46
Marney O'Breen,Australia,Smooth Sliky Salty,2022-01-03,"3,745",170
Marney O'Breen,India,After Nines,2022-07-11,"2,639",179
Ches Bonnell,New Zealand,Milk Bars,2022-08-17,"4,389",126
Rafaelita Blaksland,USA,Fruit & Nut Bars,2022-01-18,"2,604",65
Ches Bonnell,India,Organic Choco Syrup,2022-03-08,"16,569",99
Mallorie Waber,Australia,Orange Choco,2022-03-07,"14,658",275
Husein Augar,India,70% Dark Bites,2022-05-09,"6,454",157
Barr Faughny,New Zealand,85% Dark Bars,2022-05-23,"2,100",157
Madelene Upcott,UK,Caramel Stuffed Bars,2022-04-15,161,145
Gigi Bohling,Australia,Drinking Coco,2022-07-27,"2,807",139
Marney O'Breen,Canada,Choco Coated Almonds,2022-08-22,"2,639",406
Ches Bonnell,USA,70% Dark Bites,2022-05-11,"4,571",122
Madelene Upcott,India,Organic Choco Syrup,2022-01-26,"4,781",38
Barr Faughny,USA,50% Dark Bites,2022-04-14,"13,034",117
Dennison Crosswaite,New Zealand,Mint Chip Choco,2022-04-05,"6,454",417
Marney O'Breen,New Zealand,Smooth Sliky Salty,2022-06-14,"8,484",57
Brien Boise,Canada,Almond Choco,2022-04-13,"4,781",125
Beverie Moffet,Australia,White Choc,2022-06-27,"2,240",166
Dotty Strutley,Australia,Eclairs,2022-01-26,"6,979",3
Barr Faughny,UK,White Choc,2022-07-05,"1,652",72
Beverie Moffet,Canada,Baker's Choco Chips,2022-01-11,"13,447",95
Kelci Walkden,USA,White Choc,2022-03-07,"9,422",22
Kaine Padly,Canada,50% Dark Bites,2022-03-04,"8,687",100
Karlen McCaffrey,Canada,Organic Choco Syrup,2022-07-15,"2,415",312
Kaine Padly,UK,Peanut Butter Cubes,2022-05-11,"6,272",86
Karlen McCaffrey,USA,Milk Bars,2022-01-27,"4,389",7
Karlen McCaffrey,India,Orange Choco,2022-06-27,"3,122",149
Ches Bonnell,India,Smooth Sliky Salty,2022-08-03,"8,043",18
Wilone O'Kielt,New Zealand,Mint Chip Choco,2022-08-19,"11,662",242
Wilone O'Kielt,Australia,Fruit & Nut Bars,2022-06-15,392,102
Dennison Crosswaite,UK,Peanut Butter Cubes,2022-02-07,"8,925",158
Karlen McCaffrey,Australia,Almond Choco,2022-07-08,"7,294",128
Dennison Crosswaite,India,Milk Bars,2022-04-21,"1,526",96
Ches Bonnell,UK,Mint Chip Choco,2022-04-08,"2,688",209
Husein Augar,Australia,50% Dark Bites,2022-08-19,"14,889",52
Jan Morforth,India,Fruit & Nut Bars,2022-05-04,"2,912",55
Mallorie Waber,USA,85% Dark Bars,2022-05-11,"2,632",108
Mallorie Waber,USA,Eclairs,2022-03-22,"6,328",51
Dennison Crosswaite,Canada,Spicy Special Slims,2022-08-10,"2,527",216
Dennison Crosswaite,USA,Fruit & Nut Bars,2022-05-04,"1,414",318
Kelci Walkden,USA,99% Dark & Pure,2022-08-18,"7,714",238
Dotty Strutley,Canada,Raspberry Choco,2022-08-03,"4,347",238
Marney O'Breen,New Zealand,Milk Bars,2022-01-14,"7,490",315
Madelene Upcott,Australia,Choco Coated Almonds,2022-04-08,"2,058",72
Kelci Walkden,UK,Orange Choco,2022-08-01,"3,640",3
Dennison Crosswaite,Canada,Eclairs,2022-03-15,455,45
Karlen McCaffrey,India,Mint Chip Choco,2022-07-15,"10,990",184
Barr Faughny,New Zealand,Almond Choco,2022-01-13,"5,558",127
Mallorie Waber,Australia,85% Dark Bars,2022-08-26,"2,541",53
Ches Bonnell,Canada,Eclairs,2022-01-10,"1,876",172
Gigi Bohling,Australia,White Choc,2022-05-11,"5,523",87
Beverie Moffet,New Zealand,85% Dark Bars,2022-08-30,"11,200",22
Kaine Padly,USA,Caramel Stuffed Bars,2022-07-21,"5,593",122
Mallorie Waber,Australia,Almond Choco,2022-08-01,"7,882",125
Brien Boise,Canada,85% Dark Bars,2022-02-17,"10,241",259
Brien Boise,Australia,Drinking Coco,2022-07-27,"6,832",156
Dotty Strutley,USA,Orange Choco,2022-02-23,"1,379",107
Rafaelita Blaksland,Australia,50% Dark Bites,2022-03-22,"3,010",40
Dennison Crosswaite,India,99% Dark & Pure,2022-06-23,"6,888",311
Curtice Advani,UK,White Choc,2022-02-01,"1,540",73
Kelci Walkden,Australia,After Nines,2022-03-02,"6,916",288
Gigi Bohling,UK,Fruit & Nut Bars,2022-04-06,"1,232",86
Gunar Cockshoot,Australia,Raspberry Choco,2022-03-17,602,72
Curtice Advani,UK,Fruit & Nut Bars,2022-06-24,"10,927",136
Barr Faughny,Canada,50% Dark Bites,2022-07-19,"10,185",303
Curtice Advani,USA,Spicy Special Slims,2022-07-11,"1,603",264
Brien Boise,India,Almond Choco,2022-01-13,"2,170",218
Oby Sorrel,New Zealand,Smooth Sliky Salty,2022-07-07,"8,673",60
Jan Morforth,India,85% Dark Bars,2022-05-25,"4,760",418
Marney O'Breen,India,Fruit & Nut Bars,2022-04-13,"4,753",151
Andria Kimpton,New Zealand,50% Dark Bites,2022-03-02,"3,374",202
Gunar Cockshoot,Canada,Raspberry Choco,2022-06-23,"2,058",126
Kelci Walkden,USA,Drinking Coco,2022-07-26,"6,454",160
Van Tuxwell,Canada,White Choc,2022-03-22,420,3
Rafaelita Blaksland,USA,Baker's Choco Chips,2022-06-09,"2,863",58
Van Tuxwell,Australia,Caramel Stuffed Bars,2022-05-17,"5,936",59
Ches Bonnell,New Zealand,Peanut Butter Cubes,2022-03-04,889,273
Kelci Walkden,Canada,Milk Bars,2022-07-07,"16,016",28
Dennison Crosswaite,Canada,Choco Coated Almonds,2022-01-13,"10,479",118
Curtice Advani,Australia,Almond Choco,2022-07-13,"2,912",75
Madelene Upcott,Australia,85% Dark Bars,2022-06-16,"1,575",329
Gigi Bohling,UK,50% Dark Bites,2022-07-18,"8,197",69
Ches Bonnell,UK,Manuka Honey Choco,2022-05-30,"4,221",395
Gigi Bohling,UK,70% Dark Bites,2022-06-21,840,81
Jehu Rudeforth,Australia,Peanut Butter Cubes,2022-06-24,"5,691",38
Marney O'Breen,India,Eclairs,2022-01-13,"3,472",96
Curtice Advani,Canada,Fruit & Nut Bars,2022-04-04,"4,193",195
Kaine Padly,UK,Smooth Sliky Salty,2022-06-08,"9,016",554
Karlen McCaffrey,Canada,Spicy Special Slims,2022-08-02,"6,328",47
Kelci Walkden,USA,Organic Choco Syrup,2022-07-21,"9,870",152
Curtice Advani,India,Spicy Special Slims,2022-06-20,161,134
Roddy Speechley,India,After Nines,2022-06-22,"2,576",112
Camilla Castle,Australia,Caramel Stuffed Bars,2022-05-02,"3,178",16
Curtice Advani,Australia,99% Dark & Pure,2022-01-07,"4,676",84
Mallorie Waber,UK,50% Dark Bites,2022-02-21,"5,502",99
Ches Bonnell,Canada,Baker's Choco Chips,2022-03-21,"7,462",371
Van Tuxwell,UK,Drinking Coco,2022-04-04,"5,803",136
Gunar Cockshoot,Canada,Fruit & Nut Bars,2022-03-24,"13,888",203
Gunar Cockshoot,New Zealand,Spicy Special Slims,2022-06-28,"6,867",183
Gunar Cockshoot,Australia,Drinking Coco,2022-01-14,"2,317",195
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,2022-02-07,"1,218",135
Dennison Crosswaite,New Zealand,Drinking Coco,2022-01-11,"4,109",197
Jehu Rudeforth,India,99% Dark & Pure,2022-02-25,"1,953",242
Dotty Strutley,Australia,Mint Chip Choco,2022-08-01,"6,790",25
Roddy Speechley,Australia,Mint Chip Choco,2022-05-05,"6,797",252
Madelene Upcott,New Zealand,Raspberry Choco,2022-05-18,"9,226",415
Dotty Strutley,New Zealand,Choco Coated Almonds,2022-01-04,"5,733",348
Roddy Speechley,New Zealand,50% Dark Bites,2022-05-09,"4,312",211
Rafaelita Blaksland,India,Smooth Sliky Salty,2022-05-06,"1,638",81
Husein Augar,UK,White Choc,2022-01-13,"10,815",145
Roddy Speechley,Australia,Almond Choco,2022-06-24,"4,466",74
Van Tuxwell,USA,Caramel Stuffed Bars,2022-02-14,987,21
Camilla Castle,Australia,99% Dark & Pure,2022-01-18,"4,669",101
Kaine Padly,India,Milk Bars,2022-05-02,"2,905",91
Ches Bonnell,Australia,Smooth Sliky Salty,2022-05-16,"7,490",54
Mallorie Waber,USA,Almond Choco,2022-01-28,"6,986",368
Kaine Padly,Canada,99% Dark & Pure,2022-06-24,"1,288",409
Oby Sorrel,UK,After Nines,2022-07-18,"2,345",104
Gunar Cockshoot,UK,Eclairs,2022-04-13,"3,619",164
Dotty Strutley,USA,Caramel Stuffed Bars,2022-04-15,"16,982",76
Jan Morforth,India,Peanut Butter Cubes,2022-01-04,"8,092",178
Husein Augar,Australia,Eclairs,2022-07-04,"6,993",31
Beverie Moffet,USA,Smooth Sliky Salty,2022-03-24,"2,317",352
Camilla Castle,Australia,Manuka Honey Choco,2022-03-17,637,169
Oby Sorrel,Australia,Almond Choco,2022-02-15,"6,034",223
Jan Morforth,USA,Orange Choco,2022-06-29,980,146
Gigi Bohling,USA,Fruit & Nut Bars,2022-05-24,"2,821",112
Mallorie Waber,UK,Milk Bars,2022-01-10,"3,563",284
Curtice Advani,USA,Raspberry Choco,2022-03-15,"2,996",139
Marney O'Breen,Canada,Milk Bars,2022-02-08,"2,436",309
Brien Boise,India,Caramel Stuffed Bars,2022-02-25,"1,540",100
Gunar Cockshoot,USA,Eclairs,2022-05-03,"6,916",42
Roddy Speechley,USA,Fruit & Nut Bars,2022-06-14,"5,509",24
Gunar Cockshoot,India,50% Dark Bites,2022-08-09,"12,992",83
Wilone O'Kielt,New Zealand,Manuka Honey Choco,2022-07-11,"3,724",234
Kaine Padly,UK,Manuka Honey Choco,2022-01-14,"7,133",118
Van Tuxwell,Canada,Manuka Honey Choco,2022-02-24,"8,617",46
Wilone O'Kielt,New Zealand,Almond Choco,2022-03-15,"9,198",144
Oby Sorrel,New Zealand,Baker's Choco Chips,2022-04-25,"11,823",47
